"load_daily","humidity_daily_ts","temperature_daily_ts"
2889.125,76.7098214285714,53.5654761904762
2788.95833333333,80.4791666666667,53.7574404761905
2708.45833333333,81.2291666666667,55.9136904761905
2211.58333333333,74.8422619047619,61.6949404761905
2035.125,76.0669642857143,60.4300595238095
2109.625,77.9910714285714,62.0044642857143
2313.375,71.6666666666667,55.8556547619048
2479.70833333333,81.8035714285714,57.6607142857143
3115.54166666667,72.7247023809524,47.6235119047619
3221.58333333333,81.1443452380952,49.2991071428571
3055.54166666667,81.8005952380952,50.8571428571429
2498.83333333333,82.6175595238095,57.9538690476191
2003.91666666667,81.7380952380952,65.8988095238095
2475.66666666667,72.5610119047619,52.9330357142857
4293.5,60.6532738095238,38.546130952381
4499.625,68.5565476190476,37.2946428571429
4924.91666666667,45.7619047619048,28.8869047619048
6483.875,40.5520833333333,22.7291666666667
6423.54166666667,59.0029761904762,25.9449404761905
4843.79166666667,63.3630952380952,35.8824404761905
5068.25,78.9107142857143,34.6279761904762
5507.45833333333,80.9464285714286,33.4285714285714
6329.70833333333,50.4657738095238,24.8407738095238
6128.41666666667,43.8497023809524,28.0208333333333
4565.75,48.4166666666667,38.7366071428571
3821.625,63.5595238095238,47.7068452380952
4781.66666666667,51.2619047619048,37.0967261904762
6202.29166666667,42.5550595238095,26.9345238095238
5123.41666666667,70.3288690476191,29.9806547619048
4538.91666666667,86.1369047619048,36.4985119047619
4473.625,66.0252976190476,37.4196428571429
4549.16666666667,71.7648809523809,36.5163690476191
4431.875,70.4226190476191,36.6785714285714
4759.625,88.6175595238095,36.3363095238095
4505.04166666667,71.7202380952381,40.4300595238095
3876.04166666667,55.2559523809524,44.5014880952381
3606,53.0863095238095,45.3050595238095
3639.58333333333,59.3660714285714,45.9345238095238
3362.41666666667,63.7276785714286,51.9791666666667
2647.375,79.8467261904762,55.0520833333333
2737.70833333333,57.1309523809524,46.2142857142857
4179.29166666667,42.6755952380952,36.3452380952381
3903.83333333333,47.9345238095238,43.2410714285714
3483.75,59.7872023809524,47.3229166666667
