"date","load"
2011-01-01,5691.29785555128
2011-01-02,5404.48653296608
2011-01-03,5281.79795376434
2011-01-04,4833.72633854311
2011-01-05,3907.92224370677
2011-01-06,4982.60814339436
2011-01-07,5115.46042671338
2011-01-08,5218.37341819869
2011-01-09,5131.3633583126
2011-01-10,5075.70354151525
2011-01-11,5013.64768127437
2011-01-12,5189.59451024496
2011-01-13,5246.30525083545
2011-01-14,3777.87508093749
2011-01-15,3280.00641283442
2011-01-16,3545.56371264837
2011-01-17,3636.10321972263
2011-01-18,3934.91068299633
2011-01-19,3635.98935798745
2011-01-20,3426.12971232739
2011-01-21,3554.55472106104
2011-01-22,4241.28467679932
2011-01-23,3891.40895917412
2011-01-24,3836.43967654276
2011-01-25,5786.2250086961
2011-01-26,6394.3326648456
2011-01-27,5709.64831334866
2011-01-28,5387.10181098603
2011-01-29,5075.15317091091
2011-01-30,5102.73571349754
2011-01-31,4835.33455237768
2011-02-01,4912.35852111717
2011-02-02,4226.36227471278
2011-02-03,4318.3810536875
2011-02-04,4921.1604633235
2011-02-05,5033.9066693914
2011-02-06,4996.31394142427
2011-02-07,4954.6063928954
2011-02-08,4083.09056795542
2011-02-09,4458.18057387797
2011-02-10,4524.27651567692
2011-02-11,4673.45132478806
2011-02-12,4426.97188885707
2011-02-13,4664.6903678411
2011-02-14,4669.23888215293
2011-02-15,4662.01915523702
2011-02-16,4447.77193007078
2011-02-17,4007.5207401336
2011-02-18,3831.40518553467
2011-02-19,3817.49506652076
2011-02-20,4325.79943922331
2011-02-21,4095.12644599943
2011-02-22,4465.91806455989
2011-02-23,4647.60727116966
2011-02-24,4381.35173947664
2011-02-25,4158.89405028364
2011-02-26,3992.26456762734
2011-02-27,4035.5630751561
2011-02-28,4350.0463870518
