"date","load"
2011-01-01,3221.9473160207
2011-01-02,3200.35622771374
2011-01-03,3222.95724559957
2011-01-04,4007.64295679463
2011-01-05,4133.52641135065
2011-01-06,4309.76417594875
2011-01-07,3365.39034219941
2011-01-08,2722.87993029468
2011-01-09,3718.36076600408
2011-01-10,4526.74165586989
2011-01-11,3997.02734424897
2011-01-12,4799.76726759927
2011-01-13,6165.27924585185
2011-01-14,6849.02730719802
2011-01-15,6199.2049625194
2011-01-16,5076.24636155844
2011-01-17,4829.13577256015
2011-01-18,5068.63059159429
2011-01-19,4663.40717445595
2011-01-20,4920.3069555391
2011-01-21,5446.08321308473
2011-01-22,5308.38336933959
2011-01-23,4775.40511806366
2011-01-24,5240.77799724431
2011-01-25,5085.50257832237
2011-01-26,5282.6733291563
2011-01-27,5570.52537307256
2011-01-28,5628.33187259504
2011-01-29,4651.06587363559
2011-01-30,5478.16268299168
2011-01-31,5383.00820051799
2011-02-01,4964.98367589606
2011-02-02,4502.2966855376
2011-02-03,4323.19855262975
2011-02-04,3899.29753636413
2011-02-05,3401.71792558071
2011-02-06,3392.49116414053
2011-02-07,3965.86475014041
2011-02-08,4981.87274313349
2011-02-09,4849.05199629523
2011-02-10,4735.37689561711
2011-02-11,4621.43676859835
2011-02-12,4434.57223034705
2011-02-13,4672.30078176333
2011-02-14,4776.1108085466
2011-02-15,4651.23082288507
2011-02-16,4567.06688186886
2011-02-17,4227.36838692256
2011-02-18,3964.52237989124
2011-02-19,3444.17602063822
2011-02-20,2928.25222087564
2011-02-21,2642.72978744973
2011-02-22,2446.05692137993
2011-02-23,2339.02372757307
2011-02-24,2569.02865723571
2011-02-25,2901.1200349367
2011-02-26,2934.90864214667
2011-02-27,3182.4804889436
2011-02-28,3196.63186091277
