date,load
2011/1/1,3903.093506
2011/1/2,5883.700195
2011/1/3,6778.270508
2011/1/4,6411.920898
2011/1/5,6473.28125
2011/1/6,6392.099609
2011/1/7,5846.823242
2011/1/8,5243.766113
2011/1/9,6164.771484
2011/1/10,6256.685547
2011/1/11,5491.061523
2011/1/12,5638.761719
2011/1/13,5608.21875
2011/1/14,5108.254883
2011/1/15,4564.252441
2011/1/16,4456.156738
2011/1/17,3613.779297
2011/1/18,3120.022949
2011/1/19,3289.897949
2011/1/20,3246.512939
2011/1/21,4073.1604
2011/1/22,4058.849365
2011/1/23,4089.443604
2011/1/24,3989.766357
2011/1/25,2642.247803
2011/1/26,3820.75293
2011/1/27,4573.462891
2011/1/28,3799.81543
2011/1/29,4557.824707
2011/1/30,6330.064453
2011/1/31,6472.23584
2011/2/1,5996.022461
2011/2/2,5091.387207
2011/2/3,4798.795898
2011/2/4,5173.686523
2011/2/5,4775.133301
2011/2/6,4836.92041
2011/2/7,5324.791992
2011/2/8,5828.265625
2011/2/9,5273.443359
2011/2/10,5926.112305
2011/2/11,5835.638672
2011/2/12,5591.851074
2011/2/13,5505.70166
2011/2/14,5523.587891
2011/2/15,4798.98291
2011/2/16,5334.436523
2011/2/17,5661.186523
2011/2/18,4924.251953
2011/2/19,3935.708984
2011/2/20,3946.366699
2011/2/21,4017.304443
2011/2/22,3281.631592
2011/2/23,3271.825439
2011/2/24,4046.082031
2011/2/25,5138.780762
2011/2/26,4698.614258
2011/2/27,5027.169434
2011/2/28,4445.463867
