"date","load"
2011-01-01,5621.2970472993
2011-01-02,5804.21263780612
2011-01-03,5795.05272750426
2011-01-04,5753.93772878621
2011-01-05,5712.76345914786
2011-01-06,5711.16280394992
2011-01-07,5704.26616056154
2011-01-08,5693.91393779247
2011-01-09,5693.70370058362
2011-01-10,5692.57366418905
2011-01-11,5689.90484411633
2011-01-12,5689.9184086279
2011-01-13,5689.75533858988
2011-01-14,5689.05715093178
2011-01-15,5689.08065567749
2011-01-16,5689.06336900143
2011-01-17,5688.88304750414
2011-01-18,5688.89007425718
2011-01-19,5688.88966526056
2011-01-20,5688.84441538469
2011-01-21,5688.84518033032
2011-01-22,5688.84555352483
2011-01-23,5688.83399105808
2011-01-24,5688.83431695572
2011-01-25,5688.83448506622
2011-01-26,5688.83160870448
2011-01-27,5688.83163081621
2011-01-28,5688.83167715919
2011-01-29,5688.83094277902
2011-01-30,5688.83096139704
2011-01-31,5688.83097468046
2011-02-01,5688.83079232166
2011-02-02,5688.83079334378
2011-02-03,5688.8307965642
2011-02-04,5688.83075001719
2011-02-05,5688.83075116138
2011-02-06,5688.830752034
2011-02-07,5688.83074047579
2011-02-08,5688.83074053868
2011-02-09,5688.83074074624
2011-02-10,5688.83073779704
2011-02-11,5688.83073786853
2011-02-12,5688.83073792415
2011-02-13,5688.8307371916
2011-02-14,5688.83073719573
2011-02-15,5688.83073720893
2011-02-16,5688.83073702208
2011-02-17,5688.83073702656
2011-02-18,5688.83073703009
2011-02-19,5688.83073698366
2011-02-20,5688.83073698393
2011-02-21,5688.83073698477
2011-02-22,5688.83073697293
2011-02-23,5688.83073697322
2011-02-24,5688.83073697344
2011-02-25,5688.8307369705
2011-02-26,5688.83073697051
2011-02-27,5688.83073697057
2011-02-28,5688.83073696982
